id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,floor,property_type,city
6762822487,42600,3,1.75,1510,6597,1,0,0,4,6,950,560,1939,0,122054,17.2731545,78.54712165,1460,5320,1,79,7273383,5,Flat,Hyderabad
6762819076,42505,2,2.5,1310,1500,2,0,0,3,8,1160,150,2006,0,122044,27.06834904,80.91359109,1320,1581,1,61,3946037,0,Flat,Lucknow
6762813616,42572,3,2.25,3270,168000,2,0,0,4,10,3270,0,1982,0,122053,26.7233286,81.0407582,3220,7963,2,52,27791008,4,Flat,Lucknow
6762830095,42706,3,1,1340,10035,1,0,0,3,7,1340,0,1959,0,122063,13.18660814,77.75972954,2090,10035,1,50,9255705,2,Flat,Bengaluru
6762815522,42568,4,2.5,2500,8540,2,0,0,3,9,2500,0,1990,0,122011,13.04010564,77.68980345,2560,8475,1,61,19246155,14,Flat,Bengaluru
6762830877,42678,3,1.75,1520,7137,1,0,0,3,5,1520,0,1932,0,122056,13.19426566,80.24101557,1240,8602,1,69,7238880,0,Bungalow,Chennai
6762824677,42666,3,1,1210,6650,1,0,0,3,6,1210,0,1959,0,122029,17.50165351,78.56414584,990,7590,2,60,6922247,0,Flat,Hyderabad
6762820213,42575,3,2.25,1630,2490,2,0,0,3,7,1630,0,2004,0,122045,18.49660133,73.71952168,1630,2680,3,61,9603170,18,Flat,Pune
6762814557,42585,4,3.75,3210,7054,2,0,0,4,8,3210,0,1985,0,122005,18.56121911,73.99382019,2350,8020,2,58,14362754,2,Flat,Pune
6762824801,42498,3,2.25,1640,11050,1,0,0,4,8,1640,0,1972,0,122015,18.88287802,73.02012001,1870,11050,2,58,14491939,7,Flat,Mumbai
6762824021,42708,4,1.5,1780,7914,1.5,0,0,4,7,1780,0,1962,0,122015,26.9293494,81.0193333,1350,8069,3,59,6042730,16,Flat,Lucknow
6762829019,42558,3,1.75,1550,9720,1,0,0,3,7,1050,500,1976,0,122062,12.87904183,77.56771467,1550,9750,1,76,10933350,9,Flat,Bengaluru
6762829704,42573,4,1,1460,6000,1,0,0,4,7,730,730,1941,0,122063,18.61993912,73.75920829,1190,6000,2,52,7559243,22,Flat,Pune
6762829058,42727,3,1.5,1110,10296,1,0,0,5,7,1110,0,1964,0,122035,22.91148921,72.57317159,1330,10296,3,79,5777331,8,Flat,Ahmedabad
6762814374,42672,4,2.25,2440,9450,1.5,0,0,3,7,2440,0,1947,2014,122022,22.66411839,88.21809166,1720,7503,2,65,13582569,1,House,Kolkata
6762824455,42669,3,1.75,1510,6000,1,0,0,3,7,1060,450,1947,0,122016,23.17132048,72.50892735,1610,6000,2,76,5866650,2,Flat,Ahmedabad
6762815803,42664,4,2.25,2220,36085,2,0,0,3,9,2220,0,1989,0,122020,12.80752773,77.69714857,3000,36906,2,66,21352609,0,Flat,Bengaluru
6762824892,42616,3,1,1240,10800,1,0,0,5,7,1240,0,1959,0,122053,17.22763739,78.44047556,1810,10800,1,80,10178927,0,House,Hyderabad
6762828586,42518,4,1.75,1880,7632,1,0,0,4,7,1180,700,1978,0,122018,28.59713144,77.17836919,1840,8528,3,50,11089838,0,Flat,Delhi
6762814485,42504,3,2.5,4560,17622,2,0,0,4,9,3800,760,1986,0,122019,18.92907897,72.80821408,2360,15000,1,54,29844285,21,Flat,Mumbai
6762814332,42656,4,2.75,3880,15025,2,0,0,3,7,3880,0,2004,0,122045,13.11689782,80.35876892,2620,5300,2,52,20963122,22,Flat,Chennai
6762815078,42714,3,2,1770,2150,3,0,0,3,8,1770,0,1999,0,122044,28.81653229,77.11368983,2010,3200,1,52,12740877,2,House,Delhi
6762825585,42594,2,1.75,1660,11437,2,0,0,3,7,1660,0,1958,1992,122052,26.74170112,80.80266211,1290,7860,1,69,7968907,5,Flat,Lucknow
6762812451,42531,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,122013,13.15430395,80.34699145,2200,4500,2,67,13497511,24,Flat,Chennai
6762818060,42571,4,2.5,3260,10032,1,0,0,3,8,1960,1300,1978,0,122022,18.50664665,73.99681343,1802,7249,3,64,19402176,6,Flat,Pune
6762825569,42566,3,2.75,2850,4549,1,0,0,4,8,1540,1310,1989,0,122067,19.06110324,72.79467817,2240,7727,2,61,14814274,10,Flat,Mumbai
6762827261,42586,1,1,740,5000,1,0,0,3,7,740,0,1923,0,122051,22.67468181,88.2447342,1400,4400,1,61,4018464,16,Flat,Kolkata
6762827667,42510,3,2.25,1870,3230,2,0,0,3,7,1870,0,1997,0,122053,13.17806439,80.36688237,1620,3363,2,76,7496038,9,Flat,Chennai
6762829470,42559,3,2.5,1610,7223,2,0,0,3,7,1610,0,1994,0,122065,18.90414183,72.99924084,1610,7162,3,60,12476812,25,Flat,Mumbai
6762811813,42544,4,1.75,2320,3825,1.5,0,0,5,8,1820,500,1926,0,122004,28.89909897,77.2687147,1940,3825,1,64,9757690,14,Flat,Delhi
6762822667,42685,5,2.5,3370,5092,2,0,0,3,7,3370,0,2006,0,122024,12.83075182,77.42902479,2910,5092,3,64,25980437,1,House,Bengaluru
6762821868,42586,3,2.25,1670,9500,1,0,0,3,7,1170,500,1977,0,122022,28.83949906,77.34367461,1470,9500,3,75,9891293,23,Flat,Delhi
6762813323,42698,3,2,1160,13747,1,0,0,5,5,580,580,1931,0,122020,23.17081042,72.42102441,2961,16320,3,50,6893287,7,Flat,Ahmedabad
6762811660,42664,5,3.5,3400,9804,2,0,0,3,9,2550,850,2008,0,122051,27.03187181,75.66509951,2380,7440,2,53,13472826,2,House,Jaipur
6762824760,42622,4,2.5,2210,13721,2,0,0,3,8,2210,0,2009,0,122035,26.82560355,75.6727361,1850,12951,1,69,11055468,13,Flat,Jaipur
6762813964,42634,3,2,2660,5000,1.5,0,3,3,8,1940,720,1910,0,122009,28.77802099,77.33294474,2270,5000,3,59,11400909,7,Flat,Delhi
6762819063,42532,3,1.75,1970,7972,1,0,3,5,8,1370,600,1976,0,122042,26.72799665,75.80445384,2460,9796,1,53,9590092,0,Bungalow,Jaipur
6762830699,42607,3,1,1370,10708,1,0,0,3,7,1370,0,1969,0,122039,23.09873045,72.48911356,1770,14482,1,55,8073244,17,Flat,Ahmedabad
6762830319,42524,3,2.25,1500,7615,1,0,0,3,7,1150,350,1984,0,122018,19.28747211,72.97282733,1540,8649,3,71,9393075,14,Flat,Mumbai
6762820441,42536,2,1.5,1090,4000,1,0,0,3,8,970,120,1951,0,122009,17.45959546,78.52586048,1700,4000,1,59,6150194,20,Flat,Hyderabad
6762830380,42630,3,1,1110,9827,1,0,0,3,7,1110,0,1966,0,122043,13.07366234,80.12709352,1540,10187,1,76,7995761,0,House,Chennai
6762826502,42644,3,2.5,1570,2865,2,0,0,3,7,1570,0,2003,0,122051,23.08818815,72.52622135,1610,2582,1,60,6077332,13,Flat,Ahmedabad
